"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","587.00","589.80","577.25","585.10","578.65","579.35","583.79","647.60","340.00",1566236,"914,358,910.30",45201
"18-Sep-2020","EQ","594.00","594.80","583.50","591.85","587.80","585.10","586.95","647.60","340.00",2587595,"1,518,801,730.45",57640
"17-Sep-2020","EQ","593.10","598.10","588.30","598.60","593.60","591.85","591.86","647.60","340.00",1532457,"906,998,376.00",52318
"16-Sep-2020","EQ","594.50","604.95","592.80","594.20","599.00","598.60","598.50","647.60","340.00",2164876,"1,295,671,209.90",47135
"15-Sep-2020","EQ","601.95","601.95","591.05","599.45","594.00","594.20","594.19","647.60","340.00",2371934,"1,409,369,146.65",54563
"14-Sep-2020","EQ","610.00","610.00","595.20","604.80","599.00","599.45","602.40","647.60","340.00",2269786,"1,367,324,264.45",54577
"11-Sep-2020","EQ","608.00","612.70","601.60","601.60","603.90","604.80","607.09","647.60","340.00",4565118,"2,771,458,723.05",94696
"10-Sep-2020","EQ","589.60","603.00","587.40","585.70","602.65","601.60","596.81","647.60","340.00",3792391,"2,263,342,572.20",89588
"09-Sep-2020","EQ","588.90","593.00","582.65","581.85","586.00","585.70","587.63","647.60","340.00",3392130,"1,993,310,705.15",66420
"08-Sep-2020","EQ","593.50","595.15","579.50","591.85","582.00","581.85","587.23","647.60","340.00",1896569,"1,113,723,022.35",47931
"07-Sep-2020","EQ","576.60","594.50","571.15","574.65","593.50","591.85","585.19","647.60","340.00",3374335,"1,974,643,135.85",70815
"04-Sep-2020","EQ","570.00","581.00","569.05","582.20","576.80","574.65","575.59","647.60","340.00",2618812,"1,507,368,023.05",67746
"03-Sep-2020","EQ","583.70","589.00","579.25","580.85","582.50","582.20","584.56","647.60","340.00",1896035,"1,108,349,884.65",71352
"02-Sep-2020","EQ","581.40","590.00","576.80","579.30","581.05","580.85","583.55","647.60","340.00",2502182,"1,460,139,632.65",57005
"01-Sep-2020","EQ","581.50","586.00","570.75","574.80","582.70","579.30","579.34","647.60","340.00",3407303,"1,973,983,627.90",66262
"31-Aug-2020","EQ","594.75","594.75","567.05","589.35","573.80","574.80","579.26","647.60","340.00",3755093,"2,175,173,387.35",110002
"28-Aug-2020","EQ","600.00","603.50","588.15","596.05","589.15","589.35","593.42","647.60","340.00",3638732,"2,159,310,074.60",119585
"27-Aug-2020","EQ","594.20","600.00","591.15","592.05","596.80","596.05","595.16","647.60","340.00",2947749,"1,754,374,392.40",54207
"26-Aug-2020","EQ","603.00","603.00","588.65","599.80","592.95","592.05","591.56","647.60","340.00",2950984,"1,745,697,111.35",74204
"25-Aug-2020","EQ","599.00","603.60","593.00","598.75","600.00","599.80","598.21","647.60","340.00",1803138,"1,078,650,723.55",57964
"24-Aug-2020","EQ","599.80","605.45","597.05","598.10","599.50","598.75","601.82","647.60","340.00",1893436,"1,139,515,563.30",52600
"21-Aug-2020","EQ","599.20","608.90","596.15","595.05","599.30","598.10","602.92","647.60","340.00",2009373,"1,211,493,529.80",43447
"20-Aug-2020","EQ","599.00","600.00","590.10","603.45","596.25","595.05","595.00","647.60","340.00",1490688,"886,954,660.60",59347
"19-Aug-2020","EQ","600.00","607.95","598.95","597.60","604.25","603.45","603.76","647.60","340.00",2345111,"1,415,880,567.60",50200
"18-Aug-2020","EQ","590.50","600.65","589.00","589.10","599.25","597.60","596.03","647.60","340.00",2225080,"1,326,204,806.45",75634
"17-Aug-2020","EQ","591.40","594.20","585.95","587.75","590.50","589.10","590.01","647.60","340.00",1335406,"787,907,102.50",34258
"14-Aug-2020","EQ","600.00","602.40","585.65","599.75","587.80","587.75","591.20","647.60","340.00",3151499,"1,863,154,305.35",77666
"13-Aug-2020","EQ","610.00","614.00","598.00","608.75","599.60","599.75","603.40","647.60","340.00",2164504,"1,306,056,898.80",59885
"12-Aug-2020","EQ","609.00","617.70","603.10","608.75","608.45","608.75","609.94","647.60","340.00",3419611,"2,085,741,786.70",74183
"11-Aug-2020","EQ","609.85","613.90","606.10","608.85","609.90","608.75","609.45","647.60","340.00",1539726,"938,382,931.75",32479
"10-Aug-2020","EQ","616.00","617.95","607.00","606.95","609.65","608.85","610.39","647.60","340.00",2028858,"1,238,397,423.90",94679
"07-Aug-2020","EQ","607.90","613.85","605.45","606.90","607.60","606.95","609.45","647.60","340.00",1723762,"1,050,540,731.55",71761
"06-Aug-2020","EQ","608.40","611.75","602.25","605.00","607.65","606.90","607.12","647.60","340.00",2596375,"1,576,311,271.90",46206
"05-Aug-2020","EQ","616.45","618.15","603.30","614.15","605.05","605.00","608.74","647.60","340.00",2052017,"1,249,150,122.55",63334
"04-Aug-2020","EQ","605.20","615.90","600.95","603.00","614.50","614.15","611.38","647.60","340.00",2248864,"1,374,910,432.80",58786
"03-Aug-2020","EQ","624.00","624.00","600.50","627.10","603.90","603.00","607.92","647.60","340.00",3634590,"2,209,530,177.60",87587
"31-Jul-2020","EQ","628.70","637.90","619.05","635.10","627.00","627.10","627.96","647.60","340.00",3775023,"2,370,582,030.45",86250
"30-Jul-2020","EQ","639.95","644.90","623.95","637.75","630.05","635.10","635.04","647.60","340.00",27847477,"17,684,372,090.65",171940
"29-Jul-2020","EQ","640.50","642.70","629.00","640.50","637.70","637.75","635.09","647.60","340.00",2458653,"1,561,459,221.60",73309
"28-Jul-2020","EQ","636.00","647.60","633.65","633.45","639.75","640.50","640.51","647.60","340.00",4307409,"2,758,917,256.40",96390
"27-Jul-2020","EQ","624.60","637.50","613.50","622.40","637.35","633.45","625.15","646.40","340.00",3344053,"2,090,542,640.25",71363
"24-Jul-2020","EQ","617.00","624.90","615.50","622.70","623.00","622.40","619.91","646.40","340.00",2789581,"1,729,296,124.30",63514
"23-Jul-2020","EQ","610.95","623.70","610.65","609.65","622.00","622.70","618.38","646.40","340.00",2957797,"1,829,035,117.00",69128
"22-Jul-2020","EQ","627.00","627.00","605.90","627.45","610.60","609.65","611.63","646.40","340.00",5164789,"3,158,916,699.00",145858
"21-Jul-2020","EQ","622.00","632.50","601.35","616.45","627.00","627.45","619.41","646.40","340.00",8306391,"5,145,071,904.40",165252
"20-Jul-2020","EQ","619.70","628.20","612.30","614.50","619.50","616.45","620.84","646.40","340.00",3020897,"1,875,502,954.00",65154
"17-Jul-2020","EQ","600.80","616.00","600.05","599.85","615.55","614.50","608.71","646.40","340.00",2790704,"1,698,723,637.40",47498
"16-Jul-2020","EQ","594.00","603.75","589.25","594.80","600.00","599.85","598.19","646.40","340.00",1767720,"1,057,424,084.90",48767
"15-Jul-2020","EQ","600.00","604.70","593.00","598.45","595.50","594.80","598.15","646.40","340.00",2310735,"1,382,165,937.30",61211
"14-Jul-2020","EQ","592.50","609.00","592.50","600.30","598.90","598.45","602.65","646.40","340.00",3645884,"2,197,179,810.05",118929
